country,year,palma,ef,fossil_fuel_share,gdp_per_capita,urban_pct,trade_openness,renewable_energy,co2_per_capita,oil_rents,energy_intensity,fdi_inflows,gini_wid
Kuwait,2020,4.104882459312839,6.62,0.0,25236.075584894115,100.0,82.01251012930516,0.1,169.35688200559392,27.5816891390019,7.32,-0.5025468571778579,0.5503
Lebanon,2005,6.552564102564102,1.48,93.9926604607964,4602.198046379449,86.7665156672703,92.76265627258499,6.4,384.4951941233293,0.0,3.17,12.203849591060829,0.6212
Lebanon,2006,6.499359795134444,1.46,95.58643343515425,4635.251411748604,86.9323508787087,91.06939702984093,6.4,332.1076220504003,0.0,2.9,12.144438128842804,0.6194000000000001
Lebanon,2007,8.38030303030303,1.32,98.03423282842311,5125.25809960149,87.1024862269079,97.96770796604943,7.3,306.1274870171079,0.0,2.26,13.597826896301171,0.658
Lebanon,2008,8.426626323751892,1.56,99.28329593003957,5912.045328208416,87.2769743307677,106.62567317619379,5.1,357.9111875780815,0.0,2.71,14.880517718066688,0.6596000000000001
Lebanon,2009,7.701977401129944,1.68,95.2500409434034,7090.854938566208,87.4558678091878,90.39783886190924,4.3,397.61534599788183,0.0,3.14,13.569658914153534,0.6471
Lebanon,2010,8.071532846715328,1.68,94.41574707029629,7625.810515511655,87.6392192810679,95.09665294162426,5.7,357.4220669131519,0.0,2.8,11.132793630568623,0.6541
Lebanon,2011,8.339820359281438,1.65,94.63308845512655,7834.96257108993,87.8270813653079,102.13988241250311,6.2,298.58289365369075,0.0,2.77,7.856939894504059,0.6586000000000001
Lebanon,2012,8.648233486943164,1.76,95.40532859874799,8406.984056081175,88.0195066808075,88.54550192305915,5.6,268.29792954010145,0.0,3.05,7.068471661567291,0.6639
Lebanon,2013,8.253687315634219,1.59,95.1918946721502,8162.379293613964,88.2165478464663,86.17432859205654,5.9,248.31549751945718,0.0,2.89,5.676367910337178,0.6582
Lebanon,2014,8.184094256259204,1.53,96.6475239479447,7577.641330236905,88.4182574811842,79.81715659256272,4.2,210.10055907699052,0.0,3.0,5.951755286257232,0.6564
Lebanon,2015,8.137370753323488,1.58,89.32472848780426,7714.109999880404,88.6246882038608,71.83904263478107,4.2,113.2656851273497,0.0,3.28,4.3246917448759445,0.6536000000000001
Lebanon,2016,8.072485207100593,1.66,0.0,8089.012088155,88.835892633396,67.7236177908116,4.0,115.19680707980481,0.0,3.33,5.021740405624541,0.6507000000000001
Lebanon,2017,8.005925925925926,1.82,0.0,8608.21084982387,89.0519233886895,68.45542925932757,4.0,86.95799104259815,0.0,3.5,4.7567791402020045,0.6476000000000001
Lebanon,2018,7.934718100890208,1.76,0.0,9174.536662047589,89.272833088641,68.25730730437184,4.7,83.18734358424099,0.0,3.36,4.84140308956364,0.6444000000000001
Lebanon,2019,7.858841010401189,1.82,0.0,8905.880054974366,89.4986743521503,62.98091601016004,5.1,59.89770305928381,0.0,3.63,3.6941324500034187,0.6411
Lebanon,2020,7.789865871833085,1.54,0.0,5561.19166950397,89.729499798117,50.1298042879627,6.3,30.33754829440556,0.0,4.05,5.06712986613403,0.6375000000000001
Libya,2005,4.807967313585291,3.43,96.54406478103314,8079.249573290012,88.135773324416,90.86088968546147,2.7,887.2693809946092,61.0171738102836,4.0,2.1928948362720404,0.5714
Libya,2006,4.789205702647658,3.36,,10048.84804342891,88.1599560242948,97.73810111973812,2.9,871.7815629794759,60.9295741290035,3.75,3.4346058595279083,0.5708
Libya,2007,4.752786220871328,3.24,,11144.94484134354,88.1560287475586,102.73231550089346,3.1,804.9149490670801,59.9292830144719,2.97,6.892245659272539,0.5697
Libya,2008,4.72250252270434,3.39,,13906.140781812499,88.1474456787109,103.24215804554366,2.9,832.1781138822464,64.8164362995569,3.32,4.741395010744986,0.5686
Libya,2009,4.652304609218437,3.45,,9551.054038697546,88.1345825195312,107.62093050103903,2.6,812.4288036737555,49.9122829981053,3.82,2.254616708822233,0.5658000000000001
Libya,2010,4.58648111332008,3.6,,11600.906864947192,88.1177139282227,98.07721307423898,2.5,797.554440248389,54.526429982548,4.18,2.3666496068764165,0.5633
Libya,2011,4.47605083088954,2.89,81.08967801100675,7593.839152570198,88.0970458984375,63.0054352895288,3.2,447.2659977321296,36.3305559734441,6.91,,0.5592
Libya,2012,4.36923076923077,3.51,89.17142754579234,14975.890279514448,88.0727920532227,98.22431891684482,2.6,531.0659908666298,57.6300935046394,4.24,1.53985903839829,0.5551
Libya,2013,4.488304093567252,3.6,,11951.713412601106,88.0451431274414,106.3343609181056,2.4,550.2400316376708,45.8016137051651,4.68,0.9316386018446434,0.5602
Libya,2014,4.614624505928854,3.44,77.60554736028918,8926.420745914742,88.0142059326172,76.52488263811169,2.3,483.67242953071735,28.6305298163822,8.01,,0.5655
Libya,2015,4.742226680040121,3.0,62.179096854903946,7458.489177563744,87.8159103393555,56.904907332688346,2.9,237.43262198342634,14.4264442000075,7.74,,0.5706
Libya,2016,4.693306693306694,2.82,0.0,7525.8029930821585,87.8160056703177,41.11017606151346,2.8,219.433275694038,10.7931417666286,7.87,,0.5685
Libya,2017,4.6437810945273625,2.91,0.0,9965.832367297568,87.8166729870528,47.5489661921214,2.9,159.84619184327008,20.9466167504799,6.66,,0.5663
Libya,2018,4.68063872255489,2.87,0.0,11196.585481084374,87.818484275334,63.78113359681831,2.9,162.9423602752782,30.0345298438813,5.55,,0.5679000000000001
