country,year,ln_ef,ln_co2_per_capita,ln_palma,ln_gini_wid,ln_gdp_per_capita,ln_fossil_fuel_share,ln_renewable_energy,ln_urban_pct,ln_trade_openness,ln_oil,ihs_fdi
Bahrain,2007,2.1102132003465894,7.72448827170965,2.030114529832365,-0.43773006869543973,9.947906474580243,4.5536347046494665,1.1646607087323766,4.548181816543899,4.925694866281595,2.9439970298998066,2.7866452148460468
Bahrain,2008,2.124653884501384,7.683711554490784,1.8891771313719448,-0.4770685269678572,10.056187149109965,4.60092042804268,1.1308882598553105,4.56794731543279,4.982801579569548,3.0765090291401687,2.6409447996584055
Bahrain,2009,2.0347056478384444,7.516112531141044,1.7377884711957654,-0.522392260137456,9.87638939526007,4.599606546255472,1.159459608526033,4.588306642256684,4.770377165420986,2.669733239743926,0.9644347558345616
Bahrain,2010,2.0719132752590443,7.478162030395781,1.811837670803088,-0.4985677263704886,9.990551512342877,4.570617665431161,1.1576756131651658,4.605170185988092,4.749802738526866,2.8516674820184367,0.5525555001556877
Bahrain,2011,2.081938421878423,7.316970100474177,1.8829497072926515,-0.4764241970486583,10.127941715596767,4.590872798206909,0.9593764317117061,4.605170185988092,5.12116029701738,3.1526956776134756,1.6874200902110423
Bahrain,2012,2.1102132003465894,7.162080508667078,1.952627845525221,-0.4557063245449111,10.182583115817266,4.557120457857341,1.1349404606509026,4.605170185988092,5.186402198356274,3.0004721956430602,2.279079704403235
Bahrain,2013,2.1234584270966104,7.263992036833347,2.0208134719378243,-0.43618208077022474,10.203212818045428,4.593499535788487,1.1485080067525744,4.605170185988092,5.218134488627381,3.038169620327574,3.0950134503955726
Bahrain,2014,2.1102132003465894,7.097740541909487,2.086548892138488,-0.4177907577988012,10.183079358032531,4.556875923928213,1.1353677426971887,4.605170185988092,5.127385845171887,2.937675457637025,2.1801467583083225
Bahrain,2015,2.061786606441115,6.462473891084785,2.1510351948668447,-0.40047756659712525,10.07466622038898,0.6329690241744667,1.0940494940478047,4.605170185988092,4.996644951873587,2.2850059176528625,0.19822885712596994
Bahrain,2016,1.9837562915454279,6.407044976639919,2.1510351948668447,-0.40047756659712525,10.077440920190279,2.556182320576295,1.0841162196060126,4.605170185988092,4.889017399027653,2.032167046286453,0.667491953549401
Bahrain,2017,1.9892432737616872,5.974502043123031,2.1510351948668447,-0.40047756659712525,10.117984604438433,4.598602104963024,1.0662916768052213,4.605170185988092,4.9158060905471945,2.1904184231804837,2.0533948063602008
Bahrain,2018,1.9837562915454279,5.952900737819856,2.1510351948668447,-0.40047756659712525,10.178251797525215,4.559024325873255,1.13037770134967,4.605170185988092,4.970336583295684,2.4328306914819255,2.1376535394226086
Bahrain,2019,2.0681277817795625,5.6483246562932194,2.1510351948668447,-0.40047756659712525,10.213166309019025,4.525903225087471,1.1525378739600325,4.605170185988092,4.908362919280133,2.287389083875087,1.5815359625266954
Bahrain,2020,2.0241930674493576,5.169433798616971,2.1510351948668447,-0.40047756659712525,10.099993223126496,4.306804064775063,0.7121595281753146,4.605170185988092,4.90868366537505,1.9015983269816672,1.7698252168459967
Egypt,2005,0.04879016416943204,5.378779375521758,1.6215882461565885,-0.5286502086785426,7.008088465194652,4.539746780134836,1.8718021769015913,3.7601979192659085,4.1423827967720985,2.472490825282197,2.491042417615268
Egypt,2006,0.0769610411361284,5.401836100574294,1.6221947128970775,-0.5281413459756786,7.169333851821893,4.540948757960126,1.824549292051046,3.7605719921399205,4.119338536006669,2.4622087752198736,2.931218634114964
Egypt,2007,0.10436001532424286,5.428625028967597,1.622603871616405,-0.5276327420823718,7.344552184516525,4.542277689918897,1.791759469228055,3.760571235069843,4.175584602876564,2.3779577282640503,2.879694068484985
Egypt,2008,0.12221763272424911,5.409461388632814,1.6242174904282365,-0.5272938164732979,7.547615570157506,4.545583526817219,1.7749523509116738,3.760290374378515,4.272220492805057,2.522167733624321,2.4636784590699032
